,doc1,feq_doc1,doc2,feq_doc2,doc3,feq_doc3,doc4,feq_doc4,doc5,feq_doc5,doc6,feq_doc6,doc7,feq_doc7,doc8,feq_doc8,doc9,feq_doc9,doc10,feq_doc10,doc11,feq_doc11,doc12,feq_doc12,doc13,feq_doc13,doc14,feq_doc14,doc15,feq_doc15,doc16,feq_doc16,doc17,feq_doc17,doc18,feq_doc18,doc19,feq_doc19,doc20,feq_doc20
202,completed,3.0,longterm,2.0,-,-,division,4.0,attractions,4.0,others,6.0,15,3.0,west,4.0,-,-,-,-,triangular,1.0,crisis,1.0,ateeme,1.0,two,1.0,canada,5.0,bell,2.0,awards,1.0,-,-,printer,9,morehouse,9.0
203,perform,3.0,precipitation,2.0,-,-,factors,4.0,such,4.0,genus,6.0,brought,3.0,coast,4.0,-,-,-,-,factorials,1.0,at,1.0,study,1.0,finishing,1.0,guidelines,5.0,specimens,2.0,champion,1.0,-,-,among,9,part,9.0
204,physical,3.0,month,2.0,-,-,move,4.0,including,4.0,seven,6.0,others,3.0,near,4.0,-,-,-,-,square,1.0,performed,1.0,group,1.0,four,1.0,i,5.0,museum,2.0,stats,1.0,-,-,become,9,boycott,9.0
205,clients,3.0,year,2.0,-,-,chromatids,4.0,history,4.0,close,6.0,do,3.0,although,4.0,-,-,-,-,basel,1.0,particularly,1.0,specializes,1.0,points,1.0,management,4.0,names,2.0,wnbacom,1.0,-,-,poor,9,albany,9.0
206,considered,3.0,constant,2.0,-,-,so,4.0,21,4.0,form,6.0,clr,3.0,sweden,4.0,-,-,-,-,problem,1.0,badly,1.0,items,1.0,automatic,1.0,born,4.0,name,2.0,medals,1.0,-,-,under,9,st,9.0
207,work,3.0,midlatitude,2.0,-,-,controlled,4.0,19th,4.0,size,6.0,paragraph,3.0,warship,4.0,-,-,-,-,fibonacci,1.0,this,1.0,-,-,promotion,1.0,eating,4.0,is,2.0,representing,1.0,-,-,elected,9,marches,9.0
208,referred,3.0,long,2.0,-,-,were,4.0,1980,4.0,little,6.0,new,3.0,fired,4.0,-,-,-,-,ψ,1.0,linked,1.0,-,-,places,1.0,while,4.0,others,2.0,bronze,1.0,-,-,well,9,baptist,9.0
209,having,3.0,range,2.0,-,-,stalled,4.0,bomb,4.0,word,6.0,natural,3.0,responsible,4.0,-,-,-,-,methods,1.0,several,1.0,-,-,also,1.0,future,4.0,jump,2.0,third,1.0,-,-,four,9,early,9.0
210,ethnomedicine,3.0,days,2.0,-,-,matched,3.0,oide,4.0,especially,6.0,rejected,3.0,7,4.0,-,-,-,-,determining,1.0,scandals,1.0,-,-,got,1.0,risks,4.0,up,2.0,place,1.0,-,-,meeting,9,led,9.0
211,healer,3.0,theory,2.0,-,-,biological,3.0,entry,4.0,reported,6.0,application,3.0,8,4.0,-,-,-,-,whether,1.0,such,1.0,-,-,knocked,1.0,rate,4.0,uis,1.0,professional,1.0,-,-,james,9,1967,9.0
212,one,3.0,see,2.0,-,-,cellular,3.0,beers,4.0,tend,6.0,also,3.0,11,4.0,-,-,-,-,blue,1.0,escape,1.0,-,-,out,1.0,support,4.0,f,1.0,player,1.0,-,-,school,9,dc,9.0
213,datura,3.0,average,2.0,-,-,genome,3.0,rubbish,4.0,average,6.0,november,3.0,sides,4.0,-,-,-,-,smaller,1.0,marc,1.0,-,-,of,1.0,most,4.0,wikipedia,1.0,contents,1.0,-,-,although,9,state,9.0
